2023-11-02 12:01:51 status unpacked liblttng-ust1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:51 status half-configured liblttng-ust1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:51 status installed liblttng-ust1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:51 configure dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:51 status unpacked dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:51 status half-configured dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 status installed dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 configure aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:52 status unpacked aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 status half-configured aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 status installed aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 configure dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:52 status unpacked dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 status half-configured dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 status installed dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:52 trigproc man-db:amd64 2.10.2-1 <none>
2023-11-02 12:01:52 status half-configured man-db:amd64 2.10.2-1
2023-11-02 12:01:55 status installed man-db:amd64 2.10.2-1
2023-11-02 12:01:55 trigproc libc-bin:amd64 2.35-0ubuntu3.4 <none>
2023-11-02 12:01:55 status half-configured libc-bin:amd64 2.35-0ubuntu3.4
2023-11-02 12:01:56 status installed libc-bin:amd64 2.35-0ubuntu3.4
2023-11-03 13:29:31 startup archives unpack
2023-11-03 13:30:01 upgrade thunderbird-locale-en:amd64 1:115.3.1+build1-0ubuntu0.22.04.2 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:01 status half-configured thunderbird-locale-en:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:01 status unpacked thunderbird-locale-en:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:02 status half-installed thunderbird-locale-en:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:03 status unpacked thunderbird-locale-en:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:05 upgrade thunderbird:amd64 1:115.3.1+build1-0ubuntu0.22.04.2 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:05 status half-configured thunderbird:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:06 status unpacked thunderbird:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:06 status half-installed thunderbird:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:17 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2023-11-03 13:30:17 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu3
2023-11-03 13:30:17 status triggers-pending desktop-file-utils:amd64 0.26-1ubuntu3
2023-11-03 13:30:18 status triggers-pending hicolor-icon-theme:all 0.17-2
2023-11-03 13:30:19 status triggers-pending man-db:amd64 2.10.2-1
2023-11-03 13:30:21 status unpacked thunderbird:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:22 upgrade thunderbird-gnome-support:amd64 1:115.3.1+build1-0ubuntu0.22.04.2 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:22 status half-configured thunderbird-gnome-support:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:23 status unpacked thunderbird-gnome-support:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:23 status half-installed thunderbird-gnome-support:amd64 1:115.3.1+build1-0ubuntu0.22.04.2
2023-11-03 13:30:24 status unpacked thunderbird-gnome-support:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:25 startup packages configure
2023-11-03 13:30:25 configure thunderbird:amd64 1:115.4.1+build1-0ubuntu0.22.04.1 <none>
2023-11-03 13:30:25 status unpacked thunderbird:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:27 status half-configured thunderbird:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:27 status installed thunderbird:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:27 configure thunderbird-locale-en:amd64 1:115.4.1+build1-0ubuntu0.22.04.1 <none>
2023-11-03 13:30:27 status unpacked thunderbird-locale-en:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:28 status half-configured thunderbird-locale-en:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:28 status installed thunderbird-locale-en:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:28 configure thunderbird-gnome-support:amd64 1:115.4.1+build1-0ubuntu0.22.04.1 <none>
2023-11-03 13:30:28 status unpacked thunderbird-gnome-support:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:29 status half-configured thunderbird-gnome-support:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:29 status installed thunderbird-gnome-support:amd64 1:115.4.1+build1-0ubuntu0.22.04.1
2023-11-03 13:30:29 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2023-11-03 13:30:29 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2023-11-03 13:30:30 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2023-11-03 13:30:30 trigproc hicolor-icon-theme:all 0.17-2 <none>
2023-11-03 13:30:30 status half-configured hicolor-icon-theme:all 0.17-2
2023-11-03 13:30:32 status installed hicolor-icon-theme:all 0.17-2
2023-11-03 13:30:33 trigproc gnome-menus:amd64 3.36.0-1ubuntu3 <none>
2023-11-03 13:30:33 status half-configured gnome-menus:amd64 3.36.0-1ubuntu3
2023-11-03 13:30:33 status installed gnome-menus:amd64 3.36.0-1ubuntu3
2023-11-03 13:30:33 trigproc man-db:amd64 2.10.2-1 <none>
2023-11-03 13:30:33 status half-configured man-db:amd64 2.10.2-1
2023-11-03 13:30:43 status installed man-db:amd64 2.10.2-1
2023-11-03 13:30:44 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2023-11-03 13:30:44 status half-configured mailcap:all 3.70+nmu1ubuntu1
2023-11-03 13:30:45 status installed mailcap:all 3.70+nmu1ubuntu1
2023-11-03 13:30:54 startup archives unpack
2023-11-03 13:30:55 upgrade nodejs:amd64 12.22.9~dfsg-1ubuntu3 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:30:55 status half-configured nodejs:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:30:56 status unpacked nodejs:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:30:56 status half-installed nodejs:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:30:56 status triggers-pending man-db:amd64 2.10.2-1
2023-11-03 13:30:59 status unpacked nodejs:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:01 upgrade libnode-dev:amd64 12.22.9~dfsg-1ubuntu3 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:01 status half-configured libnode-dev:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:01 status unpacked libnode-dev:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:01 status half-installed libnode-dev:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:17 status unpacked libnode-dev:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:18 upgrade libnode72:amd64 12.22.9~dfsg-1ubuntu3 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:18 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.4
2023-11-03 13:31:18 status half-configured libnode72:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:19 status unpacked libnode72:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:20 status half-installed libnode72:amd64 12.22.9~dfsg-1ubuntu3
2023-11-03 13:31:23 status unpacked libnode72:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:25 startup packages configure
2023-11-03 13:31:25 configure libnode72:amd64 12.22.9~dfsg-1ubuntu3.1 <none>
2023-11-03 13:31:25 status unpacked libnode72:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:25 status half-configured libnode72:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:25 status installed libnode72:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:25 configure libnode-dev:amd64 12.22.9~dfsg-1ubuntu3.1 <none>
2023-11-03 13:31:25 status unpacked libnode-dev:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:26 status half-configured libnode-dev:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:26 status installed libnode-dev:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:27 configure nodejs:amd64 12.22.9~dfsg-1ubuntu3.1 <none>
2023-11-03 13:31:27 status unpacked nodejs:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:27 status half-configured nodejs:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:31 status installed nodejs:amd64 12.22.9~dfsg-1ubuntu3.1
2023-11-03 13:31:31 trigproc libc-bin:amd64 2.35-0ubuntu3.4 <none>
2023-11-03 13:31:31 status half-configured libc-bin:amd64 2.35-0ubuntu3.4
2023-11-03 13:31:33 status installed libc-bin:amd64 2.35-0ubuntu3.4
2023-11-03 13:31:33 trigproc man-db:amd64 2.10.2-1 <none>
2023-11-03 13:31:33 status half-configured man-db:amd64 2.10.2-1
2023-11-03 13:31:38 status installed man-db:amd64 2.10.2-1
2023-11-03 13:31:50 startup archives unpack
2023-11-03 13:31:51 install linux-modules-6.2.0-36-generic:amd64 <none> 6.2.0-36.37~22.04.1
2023-11-03 13:31:51 status half-installed linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:32:01 status unpacked linux-modules-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:32:05 install linux-image-6.2.0-36-generic:amd64 <none> 6.2.0-36.37~22.04.1
2023-11-03 13:32:05 status half-installed linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:32:11 status unpacked linux-image-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:32:15 install linux-modules-extra-6.2.0-36-generic:amd64 <none> 6.2.0-36.37~22.04.1
2023-11-03 13:32:15 status half-installed linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:34:32 status unpacked linux-modules-extra-6.2.0-36-generic:amd64 6.2.0-36.37~22.04.1
2023-11-03 13:34:34 upgrade linux-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13 6.2.0.36.37~22.04.14
2023-11-03 13:34:34 status half-configured linux-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:34 status unpacked linux-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:35 status half-installed linux-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13
2023-11-03 13:34:37 status unpacked linux-generic-hwe-22.04:amd64 6.2.0.36.37~22.04.14
2023-11-03 13:34:39 upgrade linux-image-generic-hwe-22.04:amd64 6.2.0.35.35~22.04.13 6.2.0.36.37~22.04.14
